timestamp,llm_provider,llm_model,code_sample,existence_correct,cwe_tp,cwe_fp,cwe_fn,func_tp,func_fp,func_fn,line_tp,line_fp,line_fn
2025-05-27T21:21:22.827726+00:00,openai,gpt-4o,vuln-0001/fixed-function,False,0,2,0,0,2,0,0,4,0
2025-05-27T21:21:25.328464+00:00,openai,gpt-4o,vuln-0001/fixed-file,False,0,1,0,0,1,0,0,2,0
2025-05-27T21:22:01.707133+00:00,openai,gpt-4o,vuln-0001/fixed-crate,False,0,1,0,0,1,0,0,3,0
2025-05-27T21:22:17.909151+00:00,openai,gpt-4o,vuln-0002/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:23:52.559245+00:00,openai,gpt-4o,vuln-0003/vuln-file,True,1,1,0,2,20,0,0,22,2
2025-05-27T21:23:54.046937+00:00,openai,gpt-4o,vuln-0003/vuln-function,True,0,1,1,1,0,0,1,0,0
2025-05-27T21:25:03.816277+00:00,openai,gpt-4o,vuln-0003/fixed-file,False,0,2,0,0,19,0,0,19,0
2025-05-27T21:26:27.487125+00:00,openai,gpt-4o,vuln-0004/vuln-file,True,0,2,1,1,24,1,0,38,2
2025-05-27T21:26:38.110999+00:00,openai,gpt-4o,vuln-0005/vuln-function,True,0,1,1,1,0,0,1,0,0
2025-05-27T21:28:18.193259+00:00,openai,gpt-4o,vuln-0005/fixed-function,False,0,1,0,0,1,0,0,1,0
2025-05-27T21:30:58.534662+00:00,openai,gpt-4o,vuln-0006/vuln-function,True,1,1,0,1,14,0,0,15,2
2025-05-27T21:32:29.536809+00:00,openai,gpt-4o,vuln-0006/fixed-function,False,0,2,0,0,15,0,0,15,0
2025-05-27T21:34:20.339418+00:00,openai,gpt-4o,vuln-0007/vuln-function,True,0,2,1,1,1,16,0,2,18
2025-05-27T21:35:19.320904+00:00,openai,gpt-4o,vuln-0009/vuln-function,True,1,0,0,1,0,1,0,1,2
2025-05-27T21:35:28.396757+00:00,openai,gpt-4o,vuln-0010/vuln-function,False,0,0,1,0,0,2,0,0,2
2025-05-27T21:35:33.389531+00:00,openai,gpt-4o,vuln-0010/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:36:49.642652+00:00,openai,gpt-4o,vuln-0012/vuln-function,False,0,0,2,0,0,2,0,0,2
2025-05-27T21:37:59.040825+00:00,openai,gpt-4o,vuln-0012/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:38:21.823653+00:00,openai,gpt-4o,vuln-0017/vuln-crate,True,0,3,1,0,4,1,0,4,2
2025-05-27T21:38:24.730201+00:00,openai,gpt-4o,vuln-0017/vuln-function,True,0,2,1,1,0,0,2,0,0
2025-05-27T21:39:23.239541+00:00,openai,gpt-4o,vuln-0020/fixed-function,False,0,2,0,0,5,0,0,5,0
2025-05-27T21:39:37.785026+00:00,openai,gpt-4o,vuln-0024/vuln-crate,True,1,3,0,1,5,0,1,8,0
2025-05-27T21:39:44.732128+00:00,openai,gpt-4o,vuln-0024/vuln-function,True,1,1,0,1,0,0,1,0,0
2025-05-27T21:39:49.072755+00:00,openai,gpt-4o,vuln-0024/fixed-crate,False,0,2,0,0,3,0,0,6,0
2025-05-27T21:39:54.290436+00:00,openai,gpt-4o,vuln-0024/fixed-function,True,0,0,0,0,0,0,0,0,0
2025-05-27T21:40:42.766797+00:00,openai,gpt-4o,vuln-0026/vuln-file,True,1,1,0,0,3,1,0,3,2
2025-05-27T21:41:02.340713+00:00,openai,gpt-4o,vuln-0026/vuln-function,True,1,1,0,1,1,0,0,2,2
2025-05-27T21:41:55.551482+00:00,openai,gpt-4o,vuln-0026/fixed-file,False,0,2,0,0,8,0,0,15,0
2025-05-27T21:42:17.922872+00:00,openai,gpt-4o,vuln-0026/fixed-function,False,0,2,0,0,3,0,0,6,0
2025-05-27T21:42:54.744306+00:00,openai,gpt-4o,vuln-0028/vuln-crate,True,0,2,1,1,3,0,1,4,1
2025-05-27T21:43:28.613265+00:00,openai,gpt-4o,vuln-0028/vuln-function,True,0,1,1,0,2,1,0,2,2
